Bush,Clinton,1992,Actual Results,usa.svg,Election Results not considering faithless Electors
REP,LREP,TIE,LDEM,DEM
AL,REP,9
AK,REP,3
AZ,REP,8
AR,DEM,6
CA,DEM,54
CO,DEM,8
CT,DEM,8
DE,DEM,3
DC,DEM,3
FL,REP,25
GA,DEM,13
HI,DEM,4
ID,REP,4
IL,DEM,22
IN,REP,12
IA,DEM,7
KS,REP,6
KY,DEM,8
LA,DEM,9
ME,DEM,4
MD,DEM,10
MA,DEM,12
MI,DEM,18
MN,DEM,10
MS,REP,7
MO,DEM,11
MT,DEM,3
NE,REP,5
NV,DEM,4
NH,DEM,4
NJ,DEM,15
NM,DEM,5
NY,DEM,33
NC,REP,14
ND,REP,3
OH,DEM,21
OK,REP,8
OR,DEM,7
PA,DEM,23
RI,DEM,4
SC,REP,8
SD,REP,3
TN,DEM,11
TX,REP,32
UT,REP,5
VT,DEM,3
VA,REP,13
WA,DEM,11
WV,DEM,5
WI,DEM,11
WY,REP,3
